time,temperature,humidity
1575001224.111017,10.00,57.00
1575001225.171926,10.00,57.00
1575001226.197825,10.00,57.00
1575001227.257371,10.00,57.00
1575001228.284923,10.00,57.00
1575001229.345941,10.00,57.00
1575001230.370114,10.00,57.00
1575001231.431063,10.00,57.00
1575001232.458952,10.00,57.00
1575001233.519894,10.00,57.00
1575001234.54428,10.00,57.00
1575001235.605003,10.00,57.00
1575001236.631901,10.00,57.00
1575001237.692849,10.00,57.00
1575001238.718147,10.00,57.00
1575001239.77939,10.00,57.00
1575001240.803074,10.00,57.00
1575001241.864201,10.00,57.00
1575001242.890749,10.00,57.00
1575001243.951874,10.00,57.00
1575001244.977324,10.00,57.00
1575001246.03817,10.00,57.00
1575001247.064697,10.00,57.00
1575001248.125885,10.00,57.00
1575001249.149751,10.00,57.00
1575001250.210765,10.00,57.00
1575001251.238838,10.00,58.00
1575001252.299582,10.00,58.00
1575001253.323733,10.00,58.00
1575001254.384779,10.00,58.00
1575001255.412767,10.00,57.00
1575001256.47263,10.00,57.00
1575001257.49772,10.00,58.00
1575001258.558966,10.00,58.00
1575001259.585668,10.00,57.00
1575001260.646728,10.00,57.00
1575001261.670457,10.00,58.00
1575001262.731666,10.00,58.00
1575001263.759261,10.00,58.00
1575001264.820247,10.00,58.00
1575001265.844347,10.00,58.00
1575001266.905442,10.00,58.00
1575001267.933097,10.00,58.00
1575001268.994142,10.00,58.00
1575001270.018817,10.00,58.00
1575001271.079523,10.00,58.00
1575001272.103007,9.00,58.00
1575001273.163677,9.00,58.00
1575001274.19142,9.00,58.00
1575001275.252849,9.00,58.00
1575001276.276617,9.00,58.00
1575001277.33787,9.00,58.00
1575001278.365082,9.00,58.00
1575001279.426172,9.00,58.00
1575001280.450271,9.00,58.00
1575001281.511685,9.00,58.00
1575001282.539373,9.00,58.00
1575001283.598989,9.00,58.00
1575001284.624461,9.00,58.00
1575001285.685248,9.00,58.00
1575001286.711981,9.00,58.00
1575001287.773051,9.00,58.00
1575001288.797499,9.00,58.00
1575001289.858233,9.00,58.00
1575001290.886249,9.00,58.00
1575001291.947412,9.00,58.00
1575001292.971395,9.00,58.00
1575001294.032522,9.00,58.00
1575001295.056136,9.00,58.00
1575001296.119803,9.00,58.00
1575001297.144854,9.00,58.00
1575001298.206059,9.00,58.00
1575001299.230383,9.00,58.00
1575001300.290432,9.00,58.00
1575001301.31837,9.00,58.00
1575001302.379582,9.00,58.00
1575001303.403091,9.00,58.00
1575001304.463998,9.00,58.00
1575001305.49193,9.00,58.00
1575001306.552989,9.00,58.00
1575001307.577999,9.00,58.00
1575001308.639073,9.00,58.00
1575001309.665182,9.00,58.00
1575001310.726294,9.00,58.00
1575001311.751495,9.00,59.00
1575001312.812005,9.00,59.00
1575001313.838954,9.00,59.00
1575001314.899775,9.00,59.00
1575001315.924918,9.00,59.00
1575001316.985722,9.00,59.00
1575001318.01353,9.00,59.00
1575001319.073126,9.00,59.00
1575001320.098684,9.00,59.00
1575001321.160371,9.00,59.00
1575001322.186125,9.00,59.00
1575001323.247163,9.00,59.00
1575001324.272294,9.00,59.00
1575001325.333151,9.00,59.00
1575001326.359712,9.00,59.00
1575001327.420577,9.00,59.00
1575001328.445809,9.00,59.00
1575001329.507108,9.00,59.00
1575001330.533341,9.00,59.00
1575001331.594685,9.00,59.00
1575001332.618636,9.00,59.00
1575001333.679627,9.00,59.00
1575001334.707464,9.00,59.00
1575001335.768542,9.00,59.00
1575001336.792876,9.00,59.00
1575001337.853636,9.00,59.00
1575001338.880211,9.00,59.00
1575001339.941261,9.00,59.00
1575001340.966788,9.00,59.00
1575001342.027718,9.00,59.00
1575001343.054261,9.00,59.00
1575001344.115246,9.00,59.00
1575001345.139815,9.00,59.00
1575001346.200561,9.00,59.00
1575001347.228187,9.00,59.00
1575001348.289147,9.00,59.00
1575001349.313273,9.00,59.00
1575001350.374315,9.00,59.00
1575001351.39934,9.00,59.00
1575001352.462996,9.00,59.00
1575001353.486645,9.00,59.00
1575001354.546983,9.00,59.00
1575001355.570049,9.00,59.00
1575001356.631583,9.00,59.00
1575001357.657758,9.00,59.00
1575001358.718003,9.00,59.00
1575001359.742439,9.00,59.00
